provider_id,provider_name,category,city,area,full_location,latitude,longitude,rating,availability,experience_years,completed_jobs,response_time_minutes,price_range,verified_provider,languages_supported,phone_number,email,created_at
22,Morgan AC Technician Services,AC Technician,Karachi,Korangi,"Korangi, Karachi",25.198866,73.232011,3.1,Available Soon,3,1936,36,High,True,"Urdu, Roman Urdu",647-249-9106,amartinez@yahoo.com,2025-11-28
23,Andrea Tutor Services,Tutor,Rawalpindi,Bahria Town,"Bahria Town, Rawalpindi",27.957858,71.701832,3.4,Offline,11,1965,43,Medium,False,English,(960)476-2153x013,jenniferking@johnson.com,2026-04-25
24,Lisa Electrician Services,Electrician,Rawalpindi,Saddar,"Saddar, Rawalpindi",33.332594,73.166049,4.1,Busy,17,2182,117,Low,False,Roman Urdu,001-478-970-3371,leerobert@scott-adkins.com,2025-06-25
25,Ryan Appliance Repair Services,Appliance Repair,Rawalpindi,Bahria Town,"Bahria Town, Rawalpindi",33.31756,67.725106,5.0,Offline,17,74,117,Low,False,English,073-861-2187,justinmartinez@walsh.biz,2025-10-07
26,Robert AC Technician Services,AC Technician,Peshawar,Cantt,"Cantt, Peshawar",26.035973,71.439666,3.5,Offline,20,1735,38,High,False,Roman Urdu,(833)338-0630,vanderson@hotmail.com,2026-01-30
27,Shelly Painter Services,Painter,Karachi,Malir,"Malir, Karachi",31.711192,71.459794,4.7,Offline,2,39,38,Low,False,"Urdu, Roman Urdu",+1-570-217-1602,sarah38@ingram-walsh.com,2022-05-30
28,Michael Electrician Services,Electrician,Rawalpindi,Saddar,"Saddar, Rawalpindi",32.34595,71.077567,3.2,Available,5,4479,23,Medium,True,English,241-493-6229x7729,bpitts@hotmail.com,2024-08-21
29,Meagan Carpenter Services,Carpenter,Islamabad,G-13,"G-13, Islamabad",31.801162,73.188943,3.4,Offline,8,852,57,High,True,Urdu,001-609-534-6076x89791,bhanson@douglas-santiago.biz,2025-06-16
30,Michael Plumber Services,Plumber,Lahore,Gulberg,"Gulberg, Lahore",26.668057,72.511622,3.4,Busy,11,3382,18,Medium,True,"English, Urdu",(108)120-3918,kellysusan@wiggins-boyd.net,2025-02-13
31,Karina Carpenter Services,Carpenter,Lahore,Gulberg,"Gulberg, Lahore",30.600332,69.789262,3.6,Available,8,1836,40,Low,False,Roman Urdu,001-661-399-3588x0560,rachel59@johnson-aguilar.net,2022-10-09
32,Nathan Home Tutor Services,Home Tutor,Faisalabad,Peoples Colony,"Peoples Colony, Faisalabad",25.153418,73.792804,5.0,Available,18,2722,27,High,False,English,872.190.1945x5270,zhangerica@lloyd-webb.org,2025-10-04
33,Amanda Carpenter Services,Carpenter,Faisalabad,Peoples Colony,"Peoples Colony, Faisalabad",27.851954,71.036116,4.5,Available,11,3584,37,Low,False,English,(120)047-2517,tyler87@boyle.com,2023-06-15
34,John Water Tank Cleaner Services,Water Tank Cleaner,Faisalabad,D Ground,"D Ground, Faisalabad",24.699738,71.649664,4.9,Available Soon,7,2993,47,High,False,"English, Urdu, Roman Urdu",395.410.9151,davisvictoria@yahoo.com,2025-09-01
35,John Cleaning Service Services,Cleaning Service,Peshawar,University Town,"University Town, Peshawar",30.972084,70.880887,3.6,Available Soon,14,2682,29,Medium,False,"English, Urdu, Roman Urdu",+1-342-262-2385x7604,jeremyeverett@yahoo.com,2025-05-23
36,Virginia Tutor Services,Tutor,Faisalabad,D Ground,"D Ground, Faisalabad",26.101827,72.500312,3.8,Offline,1,2499,82,High,False,"English, Urdu",+1-873-149-4068x627,jasongarcia@gmail.com,2023-11-22
37,Andrew Cleaning Service Services,Cleaning Service,Rawalpindi,PWD,"PWD, Rawalpindi",29.15452,71.430586,3.9,Offline,6,704,47,Low,True,"English, Urdu, Roman Urdu",001-064-829-9164x39010,ssanchez@thomas.org,2024-08-17
38,Shane AC Technician Services,AC Technician,Lahore,Johar Town,"Johar Town, Lahore",28.554162,73.202958,3.0,Available,8,3902,78,Low,False,"English, Urdu",(444)583-5012,egallagher@hotmail.com,2024-02-16
39,Jamie Home Tutor Services,Home Tutor,Lahore,Johar Town,"Johar Town, Lahore",25.758867,73.705762,4.4,Busy,4,3492,71,Medium,True,"Urdu, Roman Urdu",974.848.7321x8573,oconnormatthew@soto-morse.com,2024-12-20
40,Alexander AC Technician Services,AC Technician,Karachi,Nazimabad,"Nazimabad, Karachi",33.500396,73.239981,4.6,Offline,17,4588,83,High,False,"Urdu, Roman Urdu",(301)109-7836x982,hwalsh@yahoo.com,2023-11-13
41,Stephanie Mechanic Services,Mechanic,Lahore,Gulberg,"Gulberg, Lahore",30.267484,68.922182,3.5,Available Soon,8,2281,14,High,False,Urdu,488-916-8870x74392,sarah56@rogers.com,2024-11-04
42,Eric Cleaning Service Services,Cleaning Service,Islamabad,Blue Area,"Blue Area, Islamabad",30.939498,71.944934,3.2,Available Soon,5,1904,13,Medium,False,Roman Urdu,(281)345-5884,michael12@smith.com,2023-04-29
43,Andrea Plumber Services,Plumber,Rawalpindi,Chaklala,"Chaklala, Rawalpindi",32.56732,72.359162,3.4,Available,14,3200,53,Medium,True,Roman Urdu,(162)773-7492,wilsonjohn@rush.com,2024-09-10
44,John Cleaning Service Services,Cleaning Service,Rawalpindi,Chaklala,"Chaklala, Rawalpindi",28.882295,68.910547,4.5,Busy,18,4951,67,Low,False,Roman Urdu,(243)401-5484,gabriel14@yahoo.com,2022-08-14
45,Haley Water Tank Cleaner Services,Water Tank Cleaner,Peshawar,University Town,"University Town, Peshawar",33.069289,71.143249,3.3,Available,15,1055,89,Low,True,"English, Urdu, Roman Urdu",245.514.5466x787,marissabrown@foster.org,2023-12-19
46,Barbara AC Technician Services,AC Technician,Lahore,Gulberg,"Gulberg, Lahore",28.546993,69.362504,3.1,Busy,13,2691,117,Medium,False,"English, Urdu",2845021300,toddjones@hotmail.com,2024-12-14
47,Nicholas Plumber Services,Plumber,Karachi,Nazimabad,"Nazimabad, Karachi",30.501441,72.468631,4.5,Busy,2,2876,88,Low,True,Urdu,(204)607-3697x6705,juan48@morales-duarte.com,2025-04-01
48,Donald AC Technician Services,AC Technician,Karachi,North Nazimabad,"North Nazimabad, Karachi",28.65034,68.793706,3.5,Busy,16,947,52,Low,True,Urdu,392-786-1149,wrightchelsea@miller-thompson.com,2024-08-15
49,Dale Plumber Services,Plumber,Karachi,North Nazimabad,"North Nazimabad, Karachi",33.414706,68.388308,4.9,Available Soon,19,3084,80,High,True,English,6399207902,anabrown@hotmail.com,2022-06-17
50,Tiffany Mobile Repair Services,Mobile Repair,Islamabad,I-8,"I-8, Islamabad",29.327452,71.630649,3.2,Offline,19,346,13,High,False,English,+1-832-051-5965,timothy50@miller.com,2024-01-05
51,James Painter Services,Painter,Rawalpindi,Saddar,"Saddar, Rawalpindi",25.76137,70.652227,4.9,Available Soon,15,1263,88,Medium,False,"English, Urdu",497.862.3698x3262,desireeshaw@hotmail.com,2023-12-04
52,Erika Tutor Services,Tutor,Peshawar,Cantt,"Cantt, Peshawar",32.816312,68.707044,3.6,Offline,8,719,64,High,False,Roman Urdu,612.855.8937,garciakaren@smith.com,2026-03-17
53,Elizabeth AC Technician Services,AC Technician,Rawalpindi,Bahria Town,"Bahria Town, Rawalpindi",26.796585,71.173085,4.0,Offline,12,2126,117,Medium,True,"Urdu, Roman Urdu",9949064862,harriscarla@yahoo.com,2025-04-18
54,Jacob Water Tank Cleaner Services,Water Tank Cleaner,Karachi,Clifton,"Clifton, Karachi",30.459029,70.435749,3.8,Available Soon,18,1978,106,Low,True,Roman Urdu,(025)138-1210x186,smithemily@gmail.com,2025-02-15
55,Kayla Tutor Services,Tutor,Rawalpindi,PWD,"PWD, Rawalpindi",28.255038,72.221548,4.3,Offline,12,3886,47,Medium,False,Roman Urdu,(334)911-2363x17900,arobinson@gmail.com,2024-08-25
56,Brian Electrician Services,Electrician,Islamabad,F-10,"F-10, Islamabad",25.91541,72.170233,4.4,Busy,11,989,40,High,False,English,4474792561,johnsonlaura@yahoo.com,2025-04-12
57,Caitlin Carpenter Services,Carpenter,Islamabad,F-10,"F-10, Islamabad",26.743113,73.820065,3.4,Busy,1,4385,75,Medium,True,"English, Urdu, Roman Urdu",+1-773-742-6839x8205,scottpatricia@hotmail.com,2023-08-13
58,Joseph Plumber Services,Plumber,Karachi,Korangi,"Korangi, Karachi",27.407059,73.758484,4.1,Available Soon,16,3931,37,Medium,True,English,086-512-6197,murraymichael@randall.com,2024-02-14
59,Caitlin Appliance Repair Services,Appliance Repair,Rawalpindi,Saddar,"Saddar, Rawalpindi",32.111421,73.643879,4.3,Busy,2,1252,15,Low,True,"Urdu, Roman Urdu",001-705-648-4657x8510,samanthaanderson@hotmail.com,2024-01-13
60,Jessica Mobile Repair Services,Mobile Repair,Faisalabad,D Ground,"D Ground, Faisalabad",33.085044,69.081472,4.2,Available Soon,17,3126,80,Medium,False,"Urdu, Roman Urdu",549-674-8150,lyonscorey@gmail.com,2022-11-20
61,John Water Tank Cleaner Services,Water Tank Cleaner,Karachi,North Nazimabad,"North Nazimabad, Karachi",30.604281,68.0994,3.2,Offline,7,1738,27,High,True,Urdu,023.921.0499x7694,heidi31@yahoo.com,2026-05-09
62,Nathan Water Tank Cleaner Services,Water Tank Cleaner,Rawalpindi,Chaklala,"Chaklala, Rawalpindi",26.881049,68.979029,4.2,Busy,10,277,115,Medium,True,"English, Urdu, Roman Urdu",001-052-595-6254x593,ryan34@johnson.com,2025-01-21
63,Dawn Home Tutor Services,Home Tutor,Islamabad,I-8,"I-8, Islamabad",29.445624,71.533443,4.6,Available,7,3492,39,Low,True,English,001-857-093-8042x5603,hoffmanjessica@vincent.com,2025-06-09
64,Lauren Water Tank Cleaner Services,Water Tank Cleaner,Islamabad,I-8,"I-8, Islamabad",28.68698,69.128638,4.6,Available,10,3607,56,Medium,False,"English, Urdu",(267)131-7793x52871,aaronelliott@hotmail.com,2025-12-01
65,Cynthia Painter Services,Painter,Faisalabad,Madina Town,"Madina Town, Faisalabad",24.913269,73.733378,4.5,Available,20,2061,112,High,True,"English, Urdu, Roman Urdu",001-025-548-1761x2139,robinortiz@rose.info,2024-11-09
66,Dana Mobile Repair Services,Mobile Repair,Faisalabad,Madina Town,"Madina Town, Faisalabad",33.160728,68.270424,4.5,Available Soon,16,4261,79,Medium,False,English,001-992-410-0035,brandon79@jacobs.net,2023-09-25
67,John Carpenter Services,Carpenter,Islamabad,Bahria Town,"Bahria Town, Islamabad",28.116451,70.468283,3.6,Offline,4,1327,89,Medium,True,"English, Urdu",+1-272-789-5540,brendamcdaniel@yahoo.com,2025-11-15
68,Andre Carpenter Services,Carpenter,Islamabad,Blue Area,"Blue Area, Islamabad",30.576604,70.798155,3.2,Available,13,4225,57,Low,True,"Urdu, Roman Urdu",643.932.3238x78832,jacobmays@yahoo.com,2024-05-04
69,Eddie Home Tutor Services,Home Tutor,Faisalabad,Peoples Colony,"Peoples Colony, Faisalabad",29.492196,73.493709,3.9,Offline,2,1677,61,High,False,English,148.969.0229,cortezanita@gmail.com,2026-03-16
70,Brian Mobile Repair Services,Mobile Repair,Peshawar,Cantt,"Cantt, Peshawar",29.522514,67.652464,3.5,Available,6,2555,112,Low,False,English,871-832-3190x08999,grayjohn@hotmail.com,2022-09-26
71,Peter Water Tank Cleaner Services,Water Tank Cleaner,Lahore,Gulberg,"Gulberg, Lahore",33.802446,68.706116,3.6,Available Soon,9,3413,75,Low,False,Urdu,431-220-9926,hsilva@gray.net,2023-01-03
72,Eric AC Technician Services,AC Technician,Faisalabad,D Ground,"D Ground, Faisalabad",33.342484,70.554164,4.7,Offline,9,3409,110,Low,False,"English, Urdu, Roman Urdu",001-486-092-2668x16158,devon33@yahoo.com,2024-09-10
73,Rachel Home Tutor Services,Home Tutor,Faisalabad,D Ground,"D Ground, Faisalabad",27.451239,70.863422,4.0,Available Soon,5,3668,74,Medium,False,Roman Urdu,+1-805-095-4062x68123,turnerkayla@wells.com,2025-04-23
74,Matthew Appliance Repair Services,Appliance Repair,Peshawar,Hayatabad,"Hayatabad, Peshawar",31.447052,71.936595,3.8,Offline,14,367,108,Medium,False,"English, Urdu, Roman Urdu",506-911-9757,andreaholmes@gmail.com,2022-09-17
75,Samuel Plumber Services,Plumber,Lahore,Gulberg,"Gulberg, Lahore",32.741904,70.082143,3.3,Available,19,2729,72,Medium,True,"English, Urdu, Roman Urdu",+1-167-303-4599x502,breanna15@yahoo.com,2025-07-23
76,Nicholas Electrician Services,Electrician,Rawalpindi,PWD,"PWD, Rawalpindi",30.498367,72.962357,3.9,Available Soon,9,2783,114,High,False,Roman Urdu,726-169-2028,tuckermelinda@russo-green.com,2022-11-08
77,Carrie Computer Technician Services,Computer Technician,Peshawar,University Town,"University Town, Peshawar",30.31161,73.446504,4.1,Busy,20,570,34,High,True,"English, Urdu",(289)608-1100,amber15@hotmail.com,2025-10-25
78,Tammy Computer Technician Services,Computer Technician,Peshawar,Cantt,"Cantt, Peshawar",24.45991,72.573004,3.2,Available,6,2463,42,Medium,False,"English, Urdu",+1-883-517-6763x811,daltonshawna@yahoo.com,2025-07-20
79,Anita Painter Services,Painter,Lahore,Bahria Town,"Bahria Town, Lahore",24.789684,73.095877,4.1,Busy,6,1402,84,High,True,"English, Urdu",908-508-8058,bboyd@yahoo.com,2023-02-05
80,Nicholas Mechanic Services,Mechanic,Lahore,Johar Town,"Johar Town, Lahore",32.989085,70.256773,4.3,Available,15,2101,41,High,True,English,+1-273-995-6302x567,lopezheather@yahoo.com,2023-11-22
81,Dana Tutor Services,Tutor,Islamabad,I-8,"I-8, Islamabad",32.453039,68.394519,4.3,Available Soon,14,2058,54,Medium,True,Urdu,+1-099-845-4830x75290,alicialopez@andrade.info,2024-03-24
82,Andrew Appliance Repair Services,Appliance Repair,Faisalabad,Peoples Colony,"Peoples Colony, Faisalabad",26.744804,70.961503,3.6,Available Soon,10,189,92,High,True,"Urdu, Roman Urdu",020.660.5877x837,ijohnson@mosley-lowe.net,2023-08-01
83,Julie Appliance Repair Services,Appliance Repair,Islamabad,F-10,"F-10, Islamabad",30.777645,72.046499,4.6,Offline,8,1567,89,High,True,"English, Urdu, Roman Urdu",+1-998-833-2937x15409,christina18@atkins.net,2025-10-28
84,Tracy Plumber Services,Plumber,Peshawar,Cantt,"Cantt, Peshawar",31.323598,67.630934,3.6,Offline,15,283,42,Medium,False,Urdu,077-123-6249x713,shanesanders@yahoo.com,2025-03-29
85,Caroline Carpenter Services,Carpenter,Lahore,Bahria Town,"Bahria Town, Lahore",33.14049,73.609315,4.1,Offline,9,1357,108,Medium,False,English,095-002-2132,stephen56@horn.com,2023-09-28
86,Elizabeth Mobile Repair Services,Mobile Repair,Karachi,Clifton,"Clifton, Karachi",24.903029,69.762022,4.9,Offline,13,4575,38,High,True,"English, Urdu",(159)663-7327,olsonnatalie@hayes-mcdonald.com,2024-04-20
87,Michael Home Tutor Services,Home Tutor,Peshawar,Cantt,"Cantt, Peshawar",30.748366,70.300338,3.5,Available,13,3053,84,High,False,"Urdu, Roman Urdu",942.729.6387x3552,ryantodd@hawkins.com,2025-02-15
88,Gabriel Home Tutor Services,Home Tutor,Peshawar,Hayatabad,"Hayatabad, Peshawar",25.39777,73.623831,4.6,Available,10,3354,43,Medium,True,English,001-772-130-7128x43806,timothy60@yahoo.com,2025-01-19
89,Stacy Painter Services,Painter,Faisalabad,Madina Town,"Madina Town, Faisalabad",32.854138,71.584453,3.9,Busy,18,3443,111,Medium,False,Roman Urdu,701.990.1753x54540,bcastro@wang-pena.com,2026-03-08
90,Madison Beautician Services,Beautician,Peshawar,University Town,"University Town, Peshawar",33.809277,69.571345,3.9,Available,8,2981,120,High,False,English,001-912-220-6877x82739,jennifer24@gregory-callahan.com,2024-02-19
91,Ann Electrician Services,Electrician,Islamabad,F-10,"F-10, Islamabad",30.417045,71.180022,4.9,Busy,15,760,7,Low,False,Urdu,+1-169-674-8813x38307,patriciablankenship@yahoo.com,2025-08-30
92,Nicole Electrician Services,Electrician,Faisalabad,Madina Town,"Madina Town, Faisalabad",32.13053,68.630991,4.7,Busy,18,1707,104,Low,True,Roman Urdu,987.341.9593x95257,stacy26@blackwell.com,2025-07-22
93,Jennifer Tutor Services,Tutor,Lahore,Bahria Town,"Bahria Town, Lahore",24.148603,72.529893,4.6,Busy,4,221,35,High,False,English,081.878.5451x1531,audreywalsh@hotmail.com,2025-05-23
94,David AC Technician Services,AC Technician,Islamabad,G-13,"G-13, Islamabad",28.76246,72.446119,4.5,Available,17,941,70,High,True,"English, Urdu",001-061-704-8597x9907,eweaver@gmail.com,2023-07-18
95,Antonio Plumber Services,Plumber,Lahore,Bahria Town,"Bahria Town, Lahore",30.433407,67.218054,4.5,Available Soon,17,2480,66,Medium,False,"English, Urdu, Roman Urdu",(414)318-5279x7677,annahall@hodge.com,2025-10-05
96,Andrew Electrician Services,Electrician,Rawalpindi,Chaklala,"Chaklala, Rawalpindi",24.656822,68.925112,4.8,Busy,11,4993,86,High,False,"English, Urdu",+1-156-670-1157x75788,ivalencia@gmail.com,2023-01-07
97,Christina Mechanic Services,Mechanic,Faisalabad,Peoples Colony,"Peoples Colony, Faisalabad",32.527927,71.556417,4.0,Available,14,822,103,High,True,"English, Urdu",(709)499-0015,pjones@johnson.com,2023-11-02
98,Maria Carpenter Services,Carpenter,Lahore,Gulberg,"Gulberg, Lahore",27.125483,69.187665,4.7,Available,13,3417,37,Medium,True,"English, Urdu, Roman Urdu",967.926.6299x6220,ccampbell@hotmail.com,2023-09-16
99,Kimberly Computer Technician Services,Computer Technician,Karachi,DHA,"DHA, Karachi",32.117693,70.894595,3.2,Offline,14,801,80,High,False,"English, Urdu, Roman Urdu",+1-524-900-7857x612,caseymorgan@gmail.com,2025-09-06
100,Joyce Computer Technician Services,Computer Technician,Rawalpindi,Bahria Town,"Bahria Town, Rawalpindi",30.004101,69.461523,4.3,Offline,14,431,78,High,True,Urdu,747-751-2209,andersonaaron@gmail.com,2022-09-08
101,Tyler Computer Technician Services,Computer Technician,Rawalpindi,PWD,"PWD, Rawalpindi",31.626056,71.0187,3.2,Available,18,3021,108,Medium,True,"Urdu, Roman Urdu",432.570.2074x38070,kenneth26@johnson-simmons.info,2022-09-05
102,Christina Plumber Services,Plumber,Peshawar,University Town,"University Town, Peshawar",24.061058,73.089039,3.4,Offline,10,2793,77,High,False,English,051-771-4445x0232,garciakelsey@yahoo.com,2025-07-28
103,Casey Plumber Services,Plumber,Peshawar,Cantt,"Cantt, Peshawar",28.198325,69.386272,3.2,Available Soon,17,1772,52,Medium,False,"Urdu, Roman Urdu",693-240-7511x8238,smendez@yahoo.com,2023-01-09
104,Joshua AC Technician Services,AC Technician,Karachi,DHA,"DHA, Karachi",26.721028,71.633571,3.3,Available,20,417,67,High,False,"English, Urdu",486.901.7214,ylewis@hotmail.com,2024-11-01
105,Anne Electrician Services,Electrician,Lahore,Bahria Town,"Bahria Town, Lahore",29.269341,69.158936,3.7,Available Soon,4,2330,33,Medium,True,English,090.071.7742x7675,sarasmith@cole.com,2025-03-22
106,Megan Mobile Repair Services,Mobile Repair,Islamabad,F-10,"F-10, Islamabad",25.199843,70.481697,3.3,Offline,9,2381,60,Low,True,"English, Urdu",943.455.9709x92995,teresajones@hotmail.com,2023-05-20
107,Jack Cleaning Service Services,Cleaning Service,Peshawar,Hayatabad,"Hayatabad, Peshawar",32.617644,67.296116,4.1,Available Soon,12,600,7,Medium,True,Roman Urdu,+1-584-091-1411x168,plee@hill-deleon.com,2023-02-20
108,Andrew Water Tank Cleaner Services,Water Tank Cleaner,Rawalpindi,Chaklala,"Chaklala, Rawalpindi",24.208566,69.273377,4.3,Available Soon,10,953,107,High,False,"English, Urdu, Roman Urdu",794-244-4748x09214,jonesleslie@hotmail.com,2024-05-03
109,Keith Computer Technician Services,Computer Technician,Karachi,Nazimabad,"Nazimabad, Karachi",29.239625,69.770367,3.2,Available Soon,14,4834,44,High,False,Urdu,8858996572,gstokes@davis-dickson.org,2024-07-01
110,Richard Cleaning Service Services,Cleaning Service,Lahore,Model Town,"Model Town, Lahore",33.059227,69.445627,4.3,Busy,17,4187,98,High,True,Urdu,002.853.0730x906,yhenderson@yahoo.com,2025-10-16
111,Michelle Beautician Services,Beautician,Lahore,DHA,"DHA, Lahore",33.512921,71.395641,3.3,Busy,5,627,64,High,False,"English, Urdu, Roman Urdu",(832)013-8379x75589,tyler49@hotmail.com,2023-03-15
112,Cheryl Appliance Repair Services,Appliance Repair,Peshawar,Cantt,"Cantt, Peshawar",24.682863,70.095456,3.6,Available Soon,11,1246,43,Medium,True,Roman Urdu,+1-823-959-0807x73710,drakeamber@yahoo.com,2023-07-10
113,Tina Mechanic Services,Mechanic,Karachi,Gulshan,"Gulshan, Karachi",24.76731,73.04975,3.9,Offline,2,3030,114,Low,False,"English, Urdu",9649557527,psmith@lee.org,2023-02-11
114,Kevin Plumber Services,Plumber,Faisalabad,D Ground,"D Ground, Faisalabad",30.050058,70.509571,3.9,Offline,19,1552,12,Medium,True,Roman Urdu,433.813.0693,jonathanrichardson@sanchez-brewer.com,2022-05-13
115,Luis Home Tutor Services,Home Tutor,Karachi,North Nazimabad,"North Nazimabad, Karachi",29.240686,71.268638,3.3,Available Soon,8,3596,51,Medium,False,"English, Urdu",715-423-1709x20572,ltaylor@kim-atkins.com,2024-01-28
116,Ashley Plumber Services,Plumber,Islamabad,I-8,"I-8, Islamabad",24.945059,71.748655,4.6,Offline,11,549,41,Medium,True,Roman Urdu,023-365-7513x487,erikasanders@gonzales-robinson.com,2025-11-29
117,David AC Technician Services,AC Technician,Faisalabad,D Ground,"D Ground, Faisalabad",29.950412,73.566015,4.8,Busy,10,3220,44,High,False,"English, Urdu, Roman Urdu",6821004020,gregoryfuller@yahoo.com,2024-07-11
118,Charles Electrician Services,Electrician,Lahore,Bahria Town,"Bahria Town, Lahore",24.182305,69.162062,4.3,Offline,14,4175,32,Medium,False,Urdu,001-602-092-3948x238,maria08@gmail.com,2025-02-05
119,Deborah Electrician Services,Electrician,Lahore,Johar Town,"Johar Town, Lahore",30.619292,73.134749,3.6,Available,4,4168,84,Low,False,Urdu,+1-967-247-4156x0958,wjohnston@hotmail.com,2025-06-16
120,Gabrielle Mobile Repair Services,Mobile Repair,Lahore,Bahria Town,"Bahria Town, Lahore",27.642994,72.0371,4.8,Available Soon,15,367,61,High,False,"English, Urdu, Roman Urdu",895-057-1814x8371,olee@yahoo.com,2023-11-07
121,Crystal Beautician Services,Beautician,Lahore,Bahria Town,"Bahria Town, Lahore",30.783068,70.992936,3.6,Offline,16,1599,61,Medium,False,"English, Urdu",(954)249-2584x0211,carteralicia@gmail.com,2023-07-20
122,Jennifer AC Technician Services,AC Technician,Faisalabad,Peoples Colony,"Peoples Colony, Faisalabad",24.521798,70.364135,4.6,Offline,20,1143,52,High,True,"English, Urdu, Roman Urdu",+1-687-241-0612x3519,erinrodriguez@yahoo.com,2023-06-23
